名称（研发填写，产品重点校对，中文）,英文名称,平台界面是否显示,参数设置项,描述(备注/解释语，中文),英文描述(备注/解释语), 分组KEY,中文分组名称,英文分组名称,硬件版本,固件版本,型号,表格备注（非字段）,特殊解析 (变长协议等),下发是否响应,IPSO响应通道,IPSO通道,IPSO类型,IPSO起始字节,IPSO结束字节,IPSO起始bit,IPSO结束bit,"IPSO数据
类型",IPSO解析辅助字段类型,IPSO解析映射,IPSO固定值,异常值,"元素类型
（数组内元素类型）",枚举（产品校对文案）,英文枚举,默认值,自定义默认值,"最小值
(number)","最大值
(number)",设备限制范围,"精度
(有效小数位)",系数,单位名称（英文缩写）,"大小端
（string默认大端，其余默认小端）",输入长度限制（string）,字符编码（string）,类型,"读写
类型",事件类型,服务类型,IPSO标识,物模型版本,物模型属性标识,物模型数据类型,"长度下限
(string)","长度上限
(string)","数组长度
(最大)",关联项(物模型属性标识),输入参数（服务）,输出参数（事件&服务）,"必填
(入参)",云生态备注,忽略该行,平台自定义
电池消耗,Battery Drain,否,,,,,,,,,,隐藏信息,,,,0xB8,,4,8,,,uint32,,,,,,,,,,,,,3,0.001,ma*h,,,,参数,只读,,,,,battery_info.battery_consumption,double,,,,,,,,,1,FALSE
当前电量,Current Battery,否,,,,,,,,,,隐藏信息,,,,0xB8,,8,12,,,uint32,,,,,,,,,,,,,3,0.001,ma*h,,,,参数,只读,,,,,battery_info.battery_left,double,,,,,,,,,1,FALSE
当前电压,Battery Voltage,否,,,,,,,,,,隐藏信息,,,,0xB8,,12,14,,,uint16,,,,,,,,,,,,,3,0.001,v,,,,参数,只读,,,,,battery_info.battery_voltage,double,,,,,,,,,1,FALSE
当前电池状态,Current Battery Status,否,,,,,,,,,,"隐藏信息
电池状态，比如处于充电中",,,,0xB8,,14,16,,,string,,,,,,,,,,,,,,,,,4,hex,参数,只读,,,,,battery_info.current_battery_status,string,,,4,,,,,,1,TRUE
电池电量,Battery,否,,,,,,,,,,,,,,0x00,,0,1,,,uint8,,,,,,,,,,0,100,,,,%,,,,属性,只读,,,,,battery,int,,,,,,,,,,TRUE
数据来源,Data Source,是,,,,,,,,,,,,,,0x04,,0,1,,,uint8,,,,,,"0：内部
1：外部NTC
2：LoRaWAN接收
3：D2D接收","0：Internal
1：External NTC
2：LoRaWAN Reception
3：D2D Reception",0,,,,,,,,,,,属性,只读,,,,,data_source,enum,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x01,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,属性,只读,,,,,temperature,float,,,,,,,,,,TRUE
湿度,Humidity,是,,,,,,,,,,,,,,0x02,,0,2,,,uint16,,,,,,,,,,0,100,,1,0.1,%,,,,属性,只读,,,,,humidity,float,,,,,,,,,,TRUE
目标温度,Target Temperature,是,,,,,,,,,,,,,,0x03,,0,2,,,int16,,,,,,,,,,5,35,,2,0.01,℃,,,,属性,只读,,,,,target_temperature,float,,,,,,,,,,TRUE
温控信息,Temperature Control Status,是,,,,,,,,,,,,,,0x05,,0,1,,,struct,,,,,,,,,,,,,,,,,,,属性,只读,,,,,temperature_control_info,struct,,,,,,,,,,TRUE
温控模式,Temperature Control Mode,是,,,,,,,,,,,,,,0x05,,0,1,4,8,uint8,,,,,,"0：通风
1：制热
2：制冷","0：Ventilation
1：Heat
2：Cool",1,,,,,,,,,,,属性,只读,,,,,temperature_control_info.mode,enum,,,,,,,,,,TRUE
温控状态,Temperature Control Status,是,,,,,,,,,,,,,,0x05,,0,1,0,4,uint8,,,,,,"0：待机
1：制热
2：制冷
3：关闭","0：Standby
1:Heat
2:Cool
3：Off",0,,,,,,,,,,,属性,只读,,,,,temperature_control_info.status,enum,,,,,,,,,,TRUE
阀门状态,Valve Status,是,,,,,,,,,"WT303,
WT303-ZH,
WT303-FLAT-FL,
WT303-BK,
WT303-ZG",,,,,0x06,,0,1,,,uint8,,,,,,"0：关
100：开","0：Close
100：Open",0,,,,,,,,,,,属性,只读,,,,,temperature_control_valve_status,enum,,,,,,,,,,TRUE
阀门状态,Valve Status,是,,,,,,,,,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x06,,0,1,,,uint8,,,,,,,,0,,0,100,,,,%,,,,属性,只读,,,,,temperature_control_valve_status,int,,,,,,,,,,FALSE
风扇状态,Fan Status,是,,,,,,,,,,,,,,0x07,,0,1,,,struct,,,,,,,,,,,,,,,,,,,属性,只读,,,,,fan_control_info,struct,,,,,,,,,,TRUE
风扇模式,Fan Mode,是,,,,,,,,,,,,,,0x07,,0,1,4,8,uint8,,,,,,"0：自动
1：低速
2：中速
3：高速","0: Auto
1: Low
2: Medium
3: High",0,,,,,,,,,,,属性,只读,,,,,fan_control_info.mode,enum,,,,,,,,,,TRUE
风扇状态,Fan Status,是,,,,,,,,,,,,,,0x07,,0,1,0,4,uint8,,,,,,"0：关
1：低速
2：中速
3：高速","0：Off
1: Low
2: Medium
3: High",0,,,,,,,,,,,属性,只读,,,,,fan_control_info.status,enum,,,,,,,,,,TRUE
计划,Schedule,是,,,,,,,,,,,,,,0x08,,0,1,,,uint8,,,,,,"0：计划1
1：计划2
2：计划3
3：计划4
4：计划5
5：计划6
6：计划7
7：计划8
8：计划9
9：计划10
10：计划11
11：计划12
12：计划13
13：计划14
14：计划15
15：计划16
255：未执行","0：Schedule1
1：Schedule2
2：Schedule3
3：Schedule4
4：Schedule5
5：Schedule6
6：Schedule7
7：Schedule8
8：Schedule9
9：Schedule10
10：Schedule11
11：Schedule12
12：Schedule13
13：Schedule14
14：Schedule15
15：Schedule16
255：Not executed",255,,,,,,,,,,,属性,只读,,,,,execution_plan_id,enum,,,,,,,,,,TRUE
温度告警,Temperature  Alarm,是,,,,,,,,,,,,,,0x09,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,warn,,,,temperature_alarm,struct,,,,,,,,,,TRUE
告警类型,Alarm Type,否,,,,,,,,,,,,,,0x09,,0,1,,,uint8,type(one_of),temperature_alarm_type,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.type,enum,,,,,,,,,,TRUE
采集错误,Collection Error,是,,,,,,,,,,,,,,0x09,,0,0,,,struct,impl,temperature_alarm_type：0x00,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.collection_error,struct,,,,,,,,,,TRUE
超量程下限,Exceed the Range Lower Limit,是,,,,,,,,,,,,,,0x09,,0,0,,,struct,impl,temperature_alarm_type：0x01,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.lower_range_error,struct,,,,,,,,,,TRUE
超量程上限,Exceed the Range Upper Limit,是,,,,,,,,,,,,,,0x09,,0,0,,,struct,impl,temperature_alarm_type：0x02,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.over_range_error,struct,,,,,,,,,,TRUE
无数据,No Data,是,,,,,,,,,,,,,,0x09,,0,0,,,struct,impl,temperature_alarm_type：0x03,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.no_data,struct,,,,,,,,,,TRUE
值小于告警解除,Temperature Below Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x10,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.lower_range_alarm_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.lower_range_alarm_deactivation.temperature,float,,,,temperature,,,,,,TRUE
值小于告警,Temperature Below Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x11,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.lower_range_alarm_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.lower_range_alarm_trigger.temperature,float,,,,temperature,,,,,,TRUE
值大于告警解除,Temperature Above Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x12,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.over_range_alarm_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.over_range_alarm_deactivation.temperature,float,,,,temperature,,,,,,TRUE
值大于告警,Temperature Above Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x13,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.over_range_alarm_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.over_range_alarm_trigger.temperature,float,,,,temperature,,,,,,TRUE
值介于告警解除,Temperature Between Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x14,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.within_range_alarm_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.within_range_alarm_deactivation.temperature,float,,,,temperature,,,,,,TRUE
值介于告警,Temperature Between Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x15,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.within_range_alarm_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.within_range_alarm_trigger.temperature,float,,,,temperature,,,,,,TRUE
值之外告警解除,Exceed Tolerance Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x16,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.exceed_range_alarm_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.exceed_range_alarm_deactivation.temperature,float,,,,temperature,,,,,,TRUE
值之外告警,Exceed Tolerance Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x17,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.exceed_range_alarm_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.exceed_range_alarm_trigger.temperature,float,,,,temperature,,,,,,TRUE
持续低温告警解除,Persistent Low Temperature Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x20,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.persistent_low_temperature_alarm_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.persistent_low_temperature_alarm_deactivation.temperature,float,,,,temperature,,,,,,TRUE
持续低温告警,Persistent Low Temperature Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x21,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.persistent_low_temperature_alarm_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.persistent_low_temperature_alarm_trigger.temperature,float,,,,temperature,,,,,,TRUE
持续高温告警解除,Persistent High Temperature Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x22,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.persistent_high_alarm_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.persistent_high_alarm_deactivation.temperature,float,,,,temperature,,,,,,TRUE
持续高温告警,Persistent High Temperature Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x23,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.persistent_high_alarm_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.persistent_high_alarm_trigger.temperature,float,,,,temperature,,,,,,TRUE
防冻保护解除,Freeze Protection Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x30,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.anti_freeze_protection_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.anti_freeze_protection_deactivation.temperature,float,,,,temperature,,,,,,TRUE
防冻保护告警,Freeze Protection Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x31,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.anti_freeze_protection_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.anti_freeze_protection_trigger.temperature,float,,,,temperature,,,,,,TRUE
开窗解除,Open Window Alarm Released,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x32,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.window_status_detection_deactivation,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.window_status_detection_deactivation.temperature,float,,,,temperature,,,,,,TRUE
开窗告警,Open Window Alarm,是,,,,,,,,,,,,,,0x09,,0,2,,,struct,impl,temperature_alarm_type：0x33,,,,,,,,,,,,,,,,,参数,只读,,,,,temperature_alarm.window_status_detection_trigger,struct,,,,,,,,,,TRUE
温度,Temperature,是,,,,,,,,,,,,,,0x09,,0,2,,,int16,,,,,,,,,,-20,60,,2,0.01,℃,,,,参数,只读,,,,,temperature_alarm.window_status_detection_trigger.temperature,float,,,,temperature,,,,,,TRUE
湿度告警,Humidity Alarm,是,,,,,,,,,,,,,,0x0A,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,warn,,,,humidity_alarm,struct,,,,,,,,,,TRUE
告警类型,Alarm Type,否,,,,,,,,,,,,,,0x0A,,0,1,,,uint8,type(one_of),humidity_alarm_type,,,,,,,,,,,,,,,,,参数,只读,,,,,humidity_alarm.type,enum,,,,,,,,,,TRUE
采集错误,Collection Error,是,,,,,,,,,,,,,,0x0A,,0,0,,,struct,impl,humidity_alarm_type：0x00,,,,,,,,,,,,,,,,,参数,只读,,,,,humidity_alarm.collection_error,struct,,,,,,,,,,TRUE
无数据,No Data,是,,,,,,,,,,,,,,0x0A,,0,0,,,struct,impl,humidity_alarm_type：0x03,,,,,,,,,,,,,,,,,参数,只读,,,,,humidity_alarm.no_data,struct,,,,,,,,,,TRUE
目标温度告警,Target Temperature Alarm,是,,,,,,,,,,,,,,0x0B,,0,0,,,struct,,,,,,,,,,,,,,,,,,,事件,只读,warn,,,,target_temperature_alarm,struct,,,,,,,,,,TRUE
告警类型,Alarm Type,否,,,,,,,,,,,,,,0x0B,,0,1,,,uint8,type(one_of),target_temperature_alarm_type,,,,,,,,,,,,,,,,,参数,只读,,,,,target_temperature_alarm.type,enum,,,,,,,,,,TRUE
无数据,No Data,是,,,,,,,,,,,,,,0x0B,,0,0,,,struct,impl,target_temperature_alarm_type:0x03,,,,,,,,,,,,,,,,,参数,只读,,,,,target_temperature_alarm.no_data,struct,,,,,,,,,,TRUE
占用状态,Occupied Status,是,,,,,,,,>=1.5,WT303-FLAT-FL,,,,,0x0C,,0,1,,,uint8,,,,,,"0：空闲
1：占用
2：夜间占用","0：Available
1：Occupied
2：Occupied at Night",0,,,,,,,,,,,属性,只读,,,,v1.1,occupied_status,enum,,,,,,,,,,TRUE
温控权限状态,Temperature Control Authority Status,否,,,,,,,,>=1.5,,,,,,0x0D,,0,1,,,uint8,,,,,,"0：恒温器控制
1：远程控制","0: Thermostat Control
1: Remote Control",0,,,,"[0,1]",,,,,,,属性,只读,,,,v1.1,temp_ctrl_auth_status,enum,,,,,,,,,,TRUE
继电器/阀门状态,Relay/Valve Status ,否,,,,,,,,,,,,,,0x10,,0,4,,,struct,,,,,,,,,,,,,,,,,,,属性,只读,,,,,relay_status,struct,,,,,,,,,,TRUE
低速风扇,Fan Low,否,,,,,,,,,,,,,,0x10,,0,4,0,1,uint32,,,,,,"0：断开
1：闭合","0：Open
1：Close",0,,,,,,,,,,,属性,只读,,,,,relay_status.low_status,bool,,,,,,,,,,TRUE
中速风扇,Fan Medium,否,,,,,,,,,,,,,,0x10,,0,4,1,2,uint32,,,,,,"0：断开
1：闭合","0：Open
1：Close",0,,,,,,,,,,,属性,只读,,,,,relay_status.mid_status,bool,,,,,,,,,,TRUE
高速风扇,Fan High,否,,,,,,,,,,,,,,0x10,,0,4,2,3,uint32,,,,,,"0：断开
1：闭合","0：Open
1：Close",0,,,,,,,,,,,属性,只读,,,,,relay_status.high_status,bool,,,,,,,,,,TRUE
阀1,Valve 1,否,,,,,,,,,,,,,,0x10,,0,4,3,4,uint32,,,,,,"0：断开
1：闭合","0：Open
1：Close",0,,,,,,,,,,,属性,只读,,,,,relay_status.valve_1_status,bool,,,,,,,,,,TRUE
阀2,Valve 2,否,,,,,,,,,,,,,,0x10,,0,4,4,5,uint32,,,,,,"0：断开
1：闭合","0：Open
1：Close",0,,,,,,,,,,,属性,只读,,,,,relay_status.valve_2_status,bool,,,,,,,,,,TRUE
预留,Reserved,否,,,,,,,,>=1.5,"WT303-FLAT-FL,
WT303,
WT303-ZG,
WT303-ZH,
WT303-BK",,,,,0x10,,0,4,5,32,uint32,,,0,,,,,,,,,,,,,,,,属性,只读,,,,v1.1,relay_status.reserved,long,,,,,,,,,,TRUE
预留,Reserved,否,,,,,,,,>=1.5,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x10,,0,4,5,16,uint32,,,0,,,,,,,,,,,,,,,,属性,只读,,,,v1.1,relay_status.reserved,long,,,,,,,,,,FALSE
AO1占空比,AO1 Duty,否,,,,,,,,>=1.5,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x10,,0,4,16,24,uint32,,,,,,,,0,,,,"[0,100]",,,,,,,属性,只读,,,,v1.1,relay_status.ao1_duty,int,,,,,,,,,,FALSE
AO2占空比,AO2 Duty,否,,,,,,,,>=1.5,"WT304,
WT304-BK,
WT304-ZH,
WT304-ZG",,,,,0x10,,0,4,24,32,uint32,,,,,,,,0,,,,"[0,100]",,,,,,,属性,只读,,,,v1.1,relay_status.ao2_duty,int,,,,,,,,,,FALSE
随机密钥,Random key,否,,,,,,,,,,"隐藏信息
表明重置时是否使用随机密钥
无需组key",,,,0xC9,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,random_key,bool,,,,,,,,,1,TRUE
设备状态,Device Status,否,,,,general_settings,常用设置,General Settings,,,,"不支持
不支持服务器执行开关机，故只读",,,,0xC8,,0,1,,,uint8,,,,,,"0：关机
1：开机","0：Off
1：On",1,,,,"[0,1]",,,,,,,属性,只读,,,,,device_status,bool,,,,,,,,,,TRUE
采集周期,Collecting Interval,是,,,,general_settings,常用设置,General Settings,,,,,,,,0x60,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,collection_interval,struct,,,,,,,,,,TRUE
采集周期单位,Collecting Interval Unit,否,,,,general_settings,常用设置,General Settings,,,,,,,,0x60,,0,1,,,uint8,type(one_of),collecting_interval_unit,,,,"0：秒
1：分","0：second
1：min",0,,,,"[0,1]",,,,,,,属性,读写,,,,,collection_interval.unit,enum,,,,,,,,,,TRUE
采集周期, Collecting Interval,是,,,,general_settings,常用设置,General Settings,,,,,,,,0x60,,0,2,,,uint16,impl,collecting_interval_unit：0x00,,,,,,30,,10,64800,"[10,64800]",,,s,,,,属性,读写,,,,,collection_interval.seconds_of_time,int,,,,,,,,,,TRUE
采集周期,Collecting Interval,否,,,,general_settings,常用设置,General Settings,,,,,,,,0x60,,0,2,,,uint16,impl,collecting_interval_unit：0x01,,,,,,1,,1,1440,"[1,1440]",,,min,,,,属性,读写,,,,,collection_interval.minutes_of_time,int,,,,,,,,,,TRUE
上报周期,Reporting Interval,是,,,,general_settings,常用设置,General Settings,,,,,,,,0x62,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,reporting_interval,struct,,,,,,,,,,TRUE
上报周期单位,Reporting Interval Unit,否,,,,general_settings,常用设置,General Settings,,,,,,,,0x62,,0,1,,,uint8,type(one_of),reporting_interval_unit,,,,"0：秒
1：分","0：second
1：min",1,,,,"[0,1]",,,,,,,属性,读写,,,,,reporting_interval.unit,enum,,,,,,,,,,TRUE
上报周期,Reporting Interval,否,,,,general_settings,常用设置,General Settings,,,,,,,,0x62,,0,2,,,uint16,impl,reporting_interval_unit：0x00,,,,,,600,,10,64800,"[10,64800]",,,s,,,,属性,读写,,,,,reporting_interval.seconds_of_time,int,,,,,,,,,,TRUE
上报周期,Reporting Interval,是,,,,general_settings,常用设置,General Settings,,,,,,,,0x62,,0,2,,,uint16,impl,reporting_interval_unit：0x01,,,,,,10,,1,1440,"[1,1440]",,,min,,,,属性,读写,,,,,reporting_interval.minutes_of_time,int,,,,,,,,,,TRUE
上报周期配置,Reporting Interval Configuration,否,,,,report_interval_cfg,上报周期配置,Reporting Interval Configuration,,>=1.5,,,,,,0xA1,,0,2,,,uint16,,,,,,,,10,,1,1440,"[1,1440]",,,min,,,,属性,读写,,,,v1.1,reporting_interval_cfg,int,,,,,,,,,,TRUE
Auto-P,Auto-P,否,,,,,,,,,,,,,,0xC4,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",1,,,,,,,,,,,属性,读写,,,,,auto_p_enable,bool,,,,,,,,,1,TRUE
继电器/阀门变更上报,Relay/Valve Change Report,否,,,,general_settings,常用设置,General Settings,,,,,,,,0x90,,0,1,,,uint8,,,,,,"0：禁用
1：启用","0：disable
1：enable",0,,,,"[0,1]",,,,,,,属性,读写,,,,,relay_changes_report_enable,bool,,,,,,,,,,TRUE
温度单位,Temperature Unit,是,,,,general_settings,常用设置,General Settings,,,,,,,,0x63,,0,1,,,uint8,,,,,,"0：℃
1：℉","0：℃
1：℉",0,,,,"[0,1]",,,,,,,属性,读写,,,,,temperature_unit,enum,,,,,,,,,,TRUE
温度数据来源,Temperature Data Source,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,,,,,,,0x85,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,,temperature_source,struct,,,,,,,,,,TRUE
温度来源,Temperature Source,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,,,,,,,0x85,,0,1,,,uint8,type(one_of),temperature_source,,,,"0：内部温度
1：外部NTC
2：LoRa接收
3：D2D接收","0：Embedded Temperature
1：External NTC
2：LoRa Receive
3：D2D Receive",0,,,,"[0,2]",,,,,,,属性,读写,,,,,temperature_source.type,enum,,,,,,,,,,TRUE
LoRa接收,LoRa Receive,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,,,,,,,0x85,,0,2,,,struct,impl,temperature_source：0x02,,,,,,,,,,,,,,,,,属性,读写,,,,,temperature_source.lorawan_reception,struct,,,,,,,,,,TRUE
超时时间,Timeout,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,>=1.5,,,,,,0x85,,0,1,,,uint8,,,,,,,,10,,1,60,"[1,60]",,,min,,,,属性,只读,,,,v1.1,temperature_source.lorawan_reception.timeout,int,,,,,,,,,,TRUE
设备掉线设置,Device Offline Settings,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,>=1.5,,,,,,0x85,,1,2,,,uint8,,,,,,"0：保持控制
1：关闭控制
2：切换内部温度","0: Keep Control
1: Turn Off The Control
2: Switch The Embedded Temperature",0,,,,"[0,2]",,,,,,,属性,只读,,,,v1.1,temperature_source.lorawan_reception.timeout_response,enum,,,,,,,,,,TRUE
D2D接收,D2D Receive,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,,,,,,,0x85,,0,2,,,struct,impl,temperature_source：0x03,,,,,,,,,,,,,,,,,属性,读写,,,,,temperature_source.d2d_reception,struct,,,,,,,,,,TRUE
超时时间,Timeout,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,>=1.5,,,,,,0x85,,0,1,,,uint8,,,,,,,,10,,1,60,"[1,60]",,,min,,,,属性,只读,,,,v1.1,temperature_source.d2d_reception.timeout,int,,,,,,,,,,TRUE
设备掉线设置,Device Offline Settings,是,,,,general_settings.temperature_source,温度数据来源,Temperature Data Source,,>=1.5,,,,,,0x85,,1,2,,,uint8,,,,,,"0：保持控制
1：关闭控制
2：切换内部温度","0: Keep Control
1: Turn Off The Control
2: Switch The Embedded Temperature",0,,,,"[0,2]",,,,,,,属性,只读,,,,v1.1,temperature_source.d2d_reception.timeout_response,enum,,,,,,,,,,TRUE
温度数据来源配置,Temperature Data Source Configuration,否,,,,temperature_data_source_cfg,温度数据来源配置,Temperature Data Source Cfg,,>=1.5,,,,,,0xA0,,0,1,,,uint8,,,,,,"0：内部温度
1：外部NTC
2：LoRa接收
3：D2D接收","0：Embedded Temperature
1：External NTC
2：LoRa Receive
3：D2D Receive",0,,,,"[0,3]",,,,,,,属性,读写,,,,v1.1,temperature_data_source_cfg,enum,,,,,,,,,,TRUE
外部数据源超时配置,External Data Source Timeout Configuration,否,,,,external_data_src_timeout_cfg,外部数据源超时配置,External Data Source Timeout Cfg,,>=1.5,,,,,,0xA7,,0,0,,,struct,,,,,,,,,,,,,,,,,,,属性,读写,,,,v1.1,external_data_src_timeout_cfg,struct,,,,,,,,,,TRUE
子命令,Sub-command,否,,,,external_data_src_timeout_cfg,外部数据源超时配置,External Data Source Timeout Cfg,,>=1.5,,,,,,0xA7,,0,1,,,uint8,type,external_data_src_timeout_cfg,,,,,,0,,,,,,,,,,,属性,读写,,,,v1.1,external_data_src_timeout_cfg.cmd,enum,,,,,,,,,,TRUE
超时时间,Timeout,否,,,,external_data_src_timeout_cfg,外部数据源超时配置,External Data Source Timeout Cfg,,>=1.5,,,,,,0xA7,,0,1,,,uint8,impl,external_data_src_timeout_cfg：0x00,,,,,,10,,1,60,"[1,60]",,,min,,,,属性,读写,,,,v1.1,external_data_src_timeout_cfg.timeout,int,,,,,,,,,,TRUE
